"id","name","brand","address.addr1","address.city","address.region","address.country","lat","long","check_in_date","check_in","check_out_date","check_out","event","nights","sale_price","url","name-2","deleted_at"
"2890d812-4767-49d9-b34e-d691ce8d35b0","Sheraton Grand Nashville Downtown","Marriott","623 Union St","Nashville","TN","US",36.163366,-86.783091,"2023-06-08","Thu, Jun 8","2023-06-11","Sun, Jun 11","CMA Fest",3,536,"https://www.gohoken.com/hotels/2890d812-4767-49d9-b34e-d691ce8d35b0/f4cfe934-5a6a-4016-8f33-fd4100518159","CMA Fest",0
"ad3fc1dd-67e9-4a6e-a74c-ef798dd4f67d","Thompson Nashville","Hyatt","401 11th Ave","Nashville","TN","US",36.152618,-86.783657,"2023-06-09","Fri, Jun 9","2023-06-11","Sun, Jun 11","CMA Fest",2,634,"https://www.gohoken.com/hotels/ad3fc1dd-67e9-4a6e-a74c-ef798dd4f67d/f4cfe934-5a6a-4016-8f33-fd4100518159","CMA Fest",0
"228a53a2-d9f0-4336-921a-06a87c80b12e","Hutton Hotel","Independent","1808 W End","Nashville","TN","US",36.152905,-86.797045,"2023-06-09","Fri, Jun 9","2023-06-11","Sun, Jun 11","CMA Fest",2,459,"https://www.gohoken.com/hotels/228a53a2-d9f0-4336-921a-06a87c80b12e/f4cfe934-5a6a-4016-8f33-fd4100518159","CMA Fest",0
"2890d812-4767-49d9-b34e-d691ce8d35b0","Sheraton Grand Nashville Downtown","Marriott","623 Union St","Nashville","TN","US",36.163366,-86.783091,"2023-06-09","Fri, Jun 9","2023-06-11","Sun, Jun 11","CMA Fest",2,635,"https://www.gohoken.com/hotels/2890d812-4767-49d9-b34e-d691ce8d35b0/f4cfe934-5a6a-4016-8f33-fd4100518159","CMA Fest",0
"af333da4-042e-4c7b-a64e-97c20db3cd0a","Wyndham Garden LaGuardia South","Wyndham Hotels & Resorts","61-18 93rd St","Queens","NY","US",40.73253,-73.86612,"2023-06-09","Fri, Jun 9","2023-06-12","Mon, Jun 12","Governors Ball Music Festival",3,282,"https://www.gohoken.com/hotels/af333da4-042e-4c7b-a64e-97c20db3cd0a/8dd4f218-532b-4a0f-b92b-b733f506c42b","Governors Ball Music Festival",0
"aafec05e-5e83-4dec-b1ae-0c59646d6e4a","Le Pavillon Hotel","Independent","833 Poydras St","New Orleans","LA","US",29.950507,-90.072783,"2023-06-15","Thu, Jun 15","2023-06-16","Fri, Jun 16","Alpha Chi Omega Parents Weekend UGA",1,209,"https://www.gohoken.com/hotels/aafec05e-5e83-4dec-b1ae-0c59646d6e4a/00a089c0-9c0e-44fb-bcdd-e35bdfd9631f","Alpha Chi Omega Parents Weekend UGA",0
"aafec05e-5e83-4dec-b1ae-0c59646d6e4a","Le Pavillon Hotel","Independent","833 Poydras St","New Orleans","LA","US",29.950507,-90.072783,"2023-06-15","Thu, Jun 15","2023-06-17","Sat, Jun 17","Alpha Chi Omega Parents Weekend UGA",2,224,"https://www.gohoken.com/hotels/aafec05e-5e83-4dec-b1ae-0c59646d6e4a/00a089c0-9c0e-44fb-bcdd-e35bdfd9631f","Alpha Chi Omega Parents Weekend UGA",0
"aafec05e-5e83-4dec-b1ae-0c59646d6e4a","Le Pavillon Hotel","Independent","833 Poydras St","New Orleans","LA","US",29.950507,-90.072783,"2023-06-16","Fri, Jun 16","2023-06-17","Sat, Jun 17","Alpha Chi Omega Parents Weekend UGA",1,179,"https://www.gohoken.com/hotels/aafec05e-5e83-4dec-b1ae-0c59646d6e4a/00a089c0-9c0e-44fb-bcdd-e35bdfd9631f","Alpha Chi Omega Parents Weekend UGA",0
"aafec05e-5e83-4dec-b1ae-0c59646d6e4a","Le Pavillon Hotel","Independent","833 Poydras St","New Orleans","LA","US",29.950507,-90.072783,"2023-06-16","Fri, Jun 16","2023-06-18","Sun, Jun 18","Alpha Chi Omega Parents Weekend UGA",2,179,"https://www.gohoken.com/hotels/aafec05e-5e83-4dec-b1ae-0c59646d6e4a/00a089c0-9c0e-44fb-bcdd-e35bdfd9631f","Alpha Chi Omega Parents Weekend UGA",0
"930d3de2-a66c-422a-bb94-2e6a184233e6","Hilton Nashville Downtown","Hilton","121 4th Ave S","Nashville","TN","US",36.159995,-86.777425,"2023-06-18","Sun, Jun 18","2023-06-19","Mon, Jun 19","Drake ""It's All A Blur"" Tour Nashville ",1,449,"https://www.gohoken.com/hotels/930d3de2-a66c-422a-bb94-2e6a184233e6/63bba405-1f34-4cf1-a6b1-ac0e460c0c38","Drake ""It's All A Blur"" Tour Nashville ",0
